region;male;female
Belgium;5700474;5854293
Bulgaria;3349715;3566833
Czech Republic;5275103;5426674
Denmark;2904857;2935188
Germany;41026519;42128512
Estonia;630915;699153
Ireland;2477803;2528521
Greece;5196048;5482584
Spain;23227282;24171413
France;32717344;34939338
Croatia;1964930;2071425
Italy;28866226;30369987
Cyprus;437650;458357
Latvia;875225;1017998
Lithuania;1313598;1482082
Luxembourg;319456;315274
Hungary;4663794;5066978
Malta;266939;249161
Netherlands;8686536;8788879
Austria;4396952;4535712
Poland;18307488;19532513
Portugal;4858749;5439503
Romania;9387590;9814072
Slovenia;1059938;1049039
Slovakia;2666486;2793295
Finland;2733808;2799985
Sweden;5222847;5156448
UK;33760089;34802062
